path,date,board_slug,pdf_sha256,chars,pages,ocr_at
council-on-aging/2026-07-14-minutes-7894.pdf,2026-07-14,council-on-aging,613a3adfb5f9caa11eb7730337e8ba739a2511de5cad49531e7c16b921312d84,3898,4,2026-09-18T00:47:35Z
finance-committee-appointing-committee/2026-07-06-minutes-7886.pdf,2026-07-06,finance-committee-appointing-committee,32bdf99f91be4801dfff0dd2f6ce7e5ed6a068aa2594166f4d662bffbf20a6a3,1335,1,2026-09-18T00:47:44Z
conservation-commission/2026-05-20-minutes-7815.pdf,2026-05-20,conservation-commission,7c3816b1196544cd06da3238e0d7ec53cfa70225665b0d345c03720516b23f8e,9852,5,2026-09-18T00:48:25Z
board-of-assessors/2026-05-13-minutes-7802.pdf,2026-05-13,board-of-assessors,fe9b2d7de37c0e273bb3d44bb6e258cf92013ff7902755a9d1b2212c5376fa20,5768,5,2026-09-18T00:48:56Z
conservation-commission/2026-05-06-minutes-7797.pdf,2026-05-06,conservation-commission,10dab135036bd42fa4b3f2737f43aecf3af3330235dabb02b8e9f0f4f9c43139,19337,8,2026-09-18T00:50:11Z
board-of-assessors/2026-04-22-minutes-7773.pdf,2026-04-22,board-of-assessors,ed64f7825724c5ac31eef1207348b826ae2f83b4a1e6e2af28fc9d34c76e2749,3313,3,2026-09-18T00:50:29Z
conservation-commission/2026-04-15-minutes-7767.pdf,2026-04-15,conservation-commission,4c10b9ce0faa7f9627f597719294c56f03abd439a02160ab9ccf7c19369a1f9e,13987,6,2026-09-18T00:51:24Z
board-of-assessors/2026-04-08-minutes-7722.pdf,2026-04-08,board-of-assessors,86b340ed97fd93273f94a40b4f064f0965d252f216883f7b099996f1bc52760e,5632,4,2026-09-18T00:51:53Z
conservation-commission/2026-04-01-minutes-7743.pdf,2026-04-01,conservation-commission,1bf735353b2df054a6d4c2a54cc93b056ba6be74083adc3a4ec61309d4de06a4,20424,9,2026-09-18T00:53:07Z
conservation-commission/2026-03-18-minutes-7715.pdf,2026-03-18,conservation-commission,cabeed8786ce2bde15c0885b4c51cbcf392e0cf1d04e7d84bcb78509fa07eb68,10810,5,2026-09-18T00:53:51Z
