fy,edition,page_printed,page_pdf,section,line,fund,amount,document,read_by
2011,FY2011,53,56,assets,CASH and CASH INVESTMENTS,general,2383371.72,sources/town-annual-reports/docs/4117-fy-2011-annual-town-report.pdf,vision
2011,FY2011,53,56,assets,CASH and CASH INVESTMENTS,special_revenue,1458945.10,sources/town-annual-reports/docs/4117-fy-2011-annual-town-report.pdf,vision
2011,FY2011,53,56,assets,CASH and CASH INVESTMENTS,enterprise,1453892.59,sources/town-annual-reports/docs/4117-fy-2011-annual-town-report.pdf,vision
2011,FY2011,53,56,assets,CASH and CASH INVESTMENTS,capital_project,810523.39,sources/town-annual-reports/docs/4117-fy-2011-annual-town-report.pdf,vision
2011,FY2011,53,56,assets,CASH and CASH INVESTMENTS,trust_agency,2333741.54,sources/town-annual-reports/docs/4117-fy-2011-annual-town-report.pdf,vision
2011,FY2011,53,56,assets,FY 11 REAL ESTATE TAXES,general,445664.60,sources/town-annual-reports/docs/4117-fy-2011-annual-town-report.pdf,vision
2011,FY2011,53,56,assets,FY 10 REAL ESTATE TAXES,general,583.74,sources/town-annual-reports/docs/4117-fy-2011-annual-town-report.pdf,vision
2011,FY2011,53,56,assets,FY 09 REAL ESTATE TAXES,general,-5835.89,sources/town-annual-reports/docs/4117-fy-2011-annual-town-report.pdf,vision
2011,FY2011,53,56,assets,FY 08 REAL ESTATE TAXES,general,-5784.50,sources/town-annual-reports/docs/4117-fy-2011-annual-town-report.pdf,vision
2011,FY2011,53,56,assets,FY07 REAL ESTATE TAXES,general,4612.68,sources/town-annual-reports/docs/4117-fy-2011-annual-town-report.pdf,vision
2011,FY2011,53,56,assets,DEFERRED PROPERTY TAXES,general,17649.47,sources/town-annual-reports/docs/4117-fy-2011-annual-town-report.pdf,vision
2011,FY2011,53,56,assets,SUPPLEMENTAL TAXES,general,0.00,sources/town-annual-reports/docs/4117-fy-2011-annual-town-report.pdf,vision
2011,FY2011,53,56,assets,ALLOW ABATE/EXEMPTIONS,general,-19246.26,sources/town-annual-reports/docs/4117-fy-2011-annual-town-report.pdf,vision
2011,FY2011,53,56,assets,PERSONAL PROPERTY TAXES,general,48981.26,sources/town-annual-reports/docs/4117-fy-2011-annual-town-report.pdf,vision
2011,FY2011,53,56,assets,ROLL BACK TAXES,general,0.00,sources/town-annual-reports/docs/4117-fy-2011-annual-town-report.pdf,vision
2011,FY2011,53,56,assets,TAX LIENS,general,739841.58,sources/town-annual-reports/docs/4117-fy-2011-annual-town-report.pdf,vision
2011,FY2011,53,56,assets,EXCISES,general,166746.74,sources/town-annual-reports/docs/4117-fy-2011-annual-town-report.pdf,vision
2011,FY2011,53,56,assets,OTHER,general,504664.86,sources/town-annual-reports/docs/4117-fy-2011-annual-town-report.pdf,vision
2011,FY2011,53,56,assets,STREET BETTERMENTS RECEIVABLE,general,11799.71,sources/town-annual-reports/docs/4117-fy-2011-annual-town-report.pdf,vision
2011,FY2011,53,56,assets,SEPTIC/SEWER BETTERMENTS RECEIVABLE,general,-940.46,sources/town-annual-reports/docs/4117-fy-2011-annual-town-report.pdf,vision
2011,FY2011,53,56,assets,SEPTIC/SEWER BETTERMENTS RECEIVABLE,enterprise,6976626.28,sources/town-annual-reports/docs/4117-fy-2011-annual-town-report.pdf,vision
2011,FY2011,53,56,assets,DEFERRED SEWER BETTERMENTS,enterprise,4522.84,sources/town-annual-reports/docs/4117-fy-2011-annual-town-report.pdf,vision
2011,FY2011,53,56,assets,USER CHARGES RECEIVABLE,enterprise,74339.64,sources/town-annual-reports/docs/4117-fy-2011-annual-town-report.pdf,vision
2011,FY2011,53,56,assets,WATER BETTERMENTS DUE WATER DISTRICT,general,29496.34,sources/town-annual-reports/docs/4117-fy-2011-annual-town-report.pdf,vision
2011,FY2011,53,56,assets,MEADOW WOODS WATER BETTERMENT REC,general,1149538.31,sources/town-annual-reports/docs/4117-fy-2011-annual-town-report.pdf,vision
2011,FY2011,53,56,assets,DUE FROM TRUST FUNDS/SRF,general,231415.51,sources/town-annual-reports/docs/4117-fy-2011-annual-town-report.pdf,vision
2011,FY2011,53,56,assets,DUE FROM ENTERPRISE FUNDS,capital_project,7700.00,sources/town-annual-reports/docs/4117-fy-2011-annual-town-report.pdf,vision
2011,FY2011,53,56,assets,DUE FROM GENERAL FUND,special_revenue,35543.19,sources/town-annual-reports/docs/4117-fy-2011-annual-town-report.pdf,vision
2011,FY2011,53,56,assets,DUE FROM GENERAL FUND,enterprise,83962.57,sources/town-annual-reports/docs/4117-fy-2011-annual-town-report.pdf,vision
2011,FY2011,53,56,assets,DUE FROM GENERAL FUND,trust_agency,3200.00,sources/town-annual-reports/docs/4117-fy-2011-annual-town-report.pdf,vision
2011,FY2011,53,56,assets,AMOUNT TO BE PROVIDED FOR RETIREMENT OF GENERAL LONG TERM DEBT,long_term_debt,27097991,sources/town-annual-reports/docs/4117-fy-2011-annual-town-report.pdf,vision
2011,FY2011,53,56,liabilities,WARRANTS PAYABLE,general,203916.85,sources/town-annual-reports/docs/4117-fy-2011-annual-town-report.pdf,vision
2011,FY2011,53,56,liabilities,WARRANTS PAYABLE,special_revenue,85793.29,sources/town-annual-reports/docs/4117-fy-2011-annual-town-report.pdf,vision
2011,FY2011,53,56,liabilities,WARRANTS PAYABLE,enterprise,46215.60,sources/town-annual-reports/docs/4117-fy-2011-annual-town-report.pdf,vision
2011,FY2011,53,56,liabilities,WARRANTS PAYABLE,capital_project,122566.67,sources/town-annual-reports/docs/4117-fy-2011-annual-town-report.pdf,vision
2011,FY2011,53,56,liabilities,WARRANTS PAYABLE,trust_agency,720.42,sources/town-annual-reports/docs/4117-fy-2011-annual-town-report.pdf,vision
2011,FY2011,53,56,liabilities,ACCRUED SALARIES,general,879011.92,sources/town-annual-reports/docs/4117-fy-2011-annual-town-report.pdf,vision
2011,FY2011,53,56,liabilities,ACCRUED SALARIES,special_revenue,139170.98,sources/town-annual-reports/docs/4117-fy-2011-annual-town-report.pdf,vision
2011,FY2011,53,56,liabilities,ACCRUED SALARIES,enterprise,1869.66,sources/town-annual-reports/docs/4117-fy-2011-annual-town-report.pdf,vision
2011,FY2011,53,56,liabilities,BANS PAYABLE,capital_project,515000.00,sources/town-annual-reports/docs/4117-fy-2011-annual-town-report.pdf,vision
2011,FY2011,53,56,liabilities,EMPLOYEES' WITHHOLDINGS PAYABLE,general,194380.39,sources/town-annual-reports/docs/4117-fy-2011-annual-town-report.pdf,vision
2011,FY2011,53,56,liabilities,OTHER LIABILITIES and ACCRUED EXPENSES,general,37064.83,sources/town-annual-reports/docs/4117-fy-2011-annual-town-report.pdf,vision
2011,FY2011,53,56,liabilities,DEFERRED REVENUE,general,3087772.18,sources/town-annual-reports/docs/4117-fy-2011-annual-town-report.pdf,vision
2011,FY2011,53,56,liabilities,DEFERRED REVENUE,enterprise,7040128.01,sources/town-annual-reports/docs/4117-fy-2011-annual-town-report.pdf,vision
2011,FY2011,53,56,liabilities,DUE TO TRUST FUNDS/SRF/CPF/ENTERPRISE,general,122705.76,sources/town-annual-reports/docs/4117-fy-2011-annual-town-report.pdf,vision
2011,FY2011,53,56,liabilities,DUE TO TRUST FUNDS/SRF/CPF/ENTERPRISE,enterprise,7700.00,sources/town-annual-reports/docs/4117-fy-2011-annual-town-report.pdf,vision
2011,FY2011,53,56,liabilities,DUE TO WATER DISTRICT,general,14620.71,sources/town-annual-reports/docs/4117-fy-2011-annual-town-report.pdf,vision
2011,FY2011,53,56,liabilities,DUE TO GENERAL FUND,trust_agency,231415.51,sources/town-annual-reports/docs/4117-fy-2011-annual-town-report.pdf,vision
2011,FY2011,53,56,liabilities,GENERAL OBLIGATION LONG TERM DEBT,long_term_debt,27097991,sources/town-annual-reports/docs/4117-fy-2011-annual-town-report.pdf,vision
2011,FY2011,53,56,fund_balances,RESERVED FOR ENCUMBRANCES,general,207450.46,sources/town-annual-reports/docs/4117-fy-2011-annual-town-report.pdf,vision
2011,FY2011,53,56,fund_balances,RESERVED FOR ENCUMBRANCES,enterprise,116291.15,sources/town-annual-reports/docs/4117-fy-2011-annual-town-report.pdf,vision
2011,FY2011,53,56,fund_balances,RESERVED FOR FUTURE DEBT-PREMIUM,general,8560.48,sources/town-annual-reports/docs/4117-fy-2011-annual-town-report.pdf,vision
2011,FY2011,53,56,fund_balances,RESERVED FOR MSBA DEBT/DE-1,general,779460.00,sources/town-annual-reports/docs/4117-fy-2011-annual-town-report.pdf,vision
2011,FY2011,53,56,fund_balances,RESERVED FOR EXPENDITURES,enterprise,868975.55,sources/town-annual-reports/docs/4117-fy-2011-annual-town-report.pdf,vision
2011,FY2011,53,56,fund_balances,RESERVED FOR ENDOWMENTS,trust_agency,624546.58,sources/town-annual-reports/docs/4117-fy-2011-annual-town-report.pdf,vision
2011,FY2011,53,56,fund_balances,COURT JUDGEMENTS,general,-90000.00,sources/town-annual-reports/docs/4117-fy-2011-annual-town-report.pdf,vision
2011,FY2011,53,56,fund_balances,UNRESERVED: UNDESIGNATED,general,257615.83,sources/town-annual-reports/docs/4117-fy-2011-annual-town-report.pdf,vision
2011,FY2011,53,56,fund_balances,UNRESERVED: UNDESIGNATED,special_revenue,1269524.02,sources/town-annual-reports/docs/4117-fy-2011-annual-town-report.pdf,vision
2011,FY2011,53,56,fund_balances,UNRESERVED: UNDESIGNATED,enterprise,512163.95,sources/town-annual-reports/docs/4117-fy-2011-annual-town-report.pdf,vision
2011,FY2011,53,56,fund_balances,UNRESERVED: UNDESIGNATED,capital_project,180656.72,sources/town-annual-reports/docs/4117-fy-2011-annual-town-report.pdf,vision
2011,FY2011,53,56,fund_balances,UNRESERVED: UNDESIGNATED,trust_agency,1480259.03,sources/town-annual-reports/docs/4117-fy-2011-annual-town-report.pdf,vision
