path,source_type,basis,ledger_at,ledger_why,ledger_evidence,actual_at,actual_why,actual_evidence,budget_at,budget_why,budget_evidence,hidden_columns
sources/budget-workbooks/ch70-fy27-summary.xlsx,narrative,narrative,,,,,,,,,,
sources/budget-workbooks/dese-all-districts.xlsx,narrative,narrative,,,,,,,,,,
sources/budget-workbooks/fy27-budget-projection-2-24-26.xlsx,restatement,both,,,,FY27 Budget Projection!row4,ACTUALS column,FY23 FY24 FY25 FY26 FY27 DISTRICT EXPENSES ACTUALS ACTUALS ACTUALS FINAL BUDGET Proposed % change,FY27 Budget Projection!B2,Proposed column,FY27 PROPOSED BUDGET,FY27 Budget Projection:I
sources/budget-workbooks/fy27-budget-projection-3-25-26.xlsx,restatement,both,,,,FY27 Budget Projection!row4,ACTUALS column,FY23 FY24 FY25 FY25 FY26 FY26 FY26 FY27 FY27 FY27 FY27 FY29 FY27 Proposed - FY26 Budget DISTRICT EXPENSES ACTUALS ACTUALS ACTUALS Budget FINAL BUDGET Actuals to date Encumbrances to date Restoration P,FY27 Budget Projection!B2,Proposed column,FY27 PROPOSED BUDGET,"FY27 Budget Projection:F,H,I,N,O,P,T,U,V"
sources/budget-workbooks/fy27-proposals.xlsx,restatement,both,,,,FY27 Budget Projection!row4,ACTUALS column,FY23 FY24 FY25 FY25 FY26 FY26 FY26 FY27 FY27 FY27 FY27 FY29 FY27 Proposed - FY26 Budget DISTRICT EXPENSES ACTUALS ACTUALS ACTUALS Budget FINAL BUDGET Actuals to date Encumbrances to date Restoration P,FY27 Budget Projection!B2,Proposed column,FY27 PROPOSED BUDGET,"FY27 Budget Projection:C,H,I,N,O,P,T,U,V"
sources/budget-workbooks/school-funds-fy26.xlsx,ledger,actual,Summary!A15,expenditure control account,"• School Gift Fund: $3,255.30 of Elementary (THES) spending is booked directly against the revenue account (480606) rather than through Expenditure Control; not double-counted above.",Summary!A15,Expenditure Control (ledger),"• School Gift Fund: $3,255.30 of Elementary (THES) spending is booked directly against the revenue account (480606) rather than through Expenditure Control; not double-counted above.",,,,
sources/contracts/txt/custodial-2023-2026.txt,forward,budget,,,,,,,471,Requested column [wrapped],"his full regularly scheduled shift on the work day immediately preceding and his full regularly scheduled shift on the work day immediately following such holiday, unless he has previously requested a",
sources/contracts/txt/custodial-moa-2026.txt,narrative,narrative,,,,,,,,,,
sources/contracts/txt/dese-administrator-contract.txt,forward,budget,,,,,,,133,Proposed column [wrapped],the purposes of attending to personal or family business which cannot be conducted outside of school hours. Requests for personal days must be made in writing to the Superintendent at least 48 hours b,
sources/contracts/txt/dese-superintendent-contract.txt,forward,budget,,,,,,,29,Proposed column [wrapped],"under this contract as of the date of termination, unless modified pursuant to the arbitration provisions of this agreement. Prior to any such termination the Superintendent shall be provided at least",
sources/contracts/txt/dese-teacher-contract.txt,forward,budget,,,,,,,208,Requested column [wrapped],"The demand shall be filed with the American Arbitration Association within 15 business days of the District's answer in Step 2, unless Step 3 review has been requested, in which case, the",
sources/contracts/txt/lea-teachers-2024-2027.txt,forward,budget,,,,,,,206,Requested column [wrapped],"The demand shall be filed with the American Arbitration Association within 15 business days of the District's answer in Step 2, unless Step 3 review has been requested, in which case, the",
sources/contracts/txt/nonaffiliated-benefits.txt,forward,budget,,,,,,,91,Proposed column [wrapped],"the purpose of attending to personal or family business, which cannot be conducted outside of school hours or for personal or family illness. At least 48 hours notification is required before the day ",
sources/contracts/txt/nonaffiliated-salary-schedule.txt,narrative,narrative,,,,,,,,,,
sources/contracts/txt/paraprofessional-fy26-fy28.txt,forward,budget,,,,,,,240,Requested column [wrapped],by filing a written demand for arbitration with the American Arbitration Association. The demand shall be filed with the American Arbitration Association within 15 days of the District's answer in Ste,
sources/contracts/txt/paraprofessional-salary-fy26-fy28.txt,narrative,narrative,,,,,,,,,,
sources/data/fy26-code-reconciliation.xlsx,restatement,both,,,,FY26 by code!J6,MUNIS YTD EXPENDED,YTD EXPENDED,FY26 by code!A4,MUNIS APPROP column,"A row that pairs is not a row that agrees: BUDGET vs APPROP carries the gap between the workbook figure and the appropriation, and is flagged wherever it is not zero.",
sources/data/gross-school-budget-fy2026.xlsx,ledger,both,What is missing!row5,MUNIS year-to-date budget report,"Town actually spent What the town paid against this line The district names its lines; the ledger codes its accounts; no published document maps one to the other, so no ledger figure can be attached t",Gross budget!row6,ACTUALS column,FY23 FY24 FY25 FY25 FY26 FY26 FY26 FY27 ADDED BY THIS PROJECT → SECTION FUNCTION GROUP LINE ITEM THEIR ROW ACTUALS ACTUALS ACTUALS Budget FINAL BUDGET Actuals to date Encumbrances to date Balanced Pro,Gross budget!row6,FINAL BUDGET column,FY23 FY24 FY25 FY25 FY26 FY26 FY26 FY27 ADDED BY THIS PROJECT → SECTION FUNCTION GROUP LINE ITEM THEIR ROW ACTUALS ACTUALS ACTUALS Budget FINAL BUDGET Actuals to date Encumbrances to date Balanced Pro,
sources/dese/radar-district-comparison.xlsx,narrative,narrative,,,,,,,,,,
sources/district-budget/docs/updated-town-manager-39-s-budget-sheets-2-66-2-5-25.xlsx,forward,budget,,,,,,,Salaries!AH1,Budgeted column,FY23 Budgeted Salary,
sources/district-budget/text/3-12-25-town-manager-39-s-budget.txt,forward,budget,,,,,,,1,Budgeted column [wrapped],===PAGE 1=== FY25 FY26 FY26 FY26 FY26 % Budgeted Level Adj Needs Based TM 030525 TM 031225 increase,
sources/district-budget/text/additional-town-revenue-spending-plan.txt,forward,budget,,,,,,,35,Tier scenario column [wrapped],"● Studies indicate that students receiving reading interventions in small, targeted groups consistently outperform struggling readers who only receive whole-class instruction. A Reading Specialist can",
sources/district-budget/text/athletic-program-costs-by-sport.txt,narrative,narrative,,,,,,,,,,
sources/district-budget/text/balanced-budget-slides-3-23-26.txt,forward,budget,,,,,,,220,Proposed column [wrapped],"===PAGE 25=== Raise Athletic Fees by $75 will generate ~ $120,000 Impact of action: A proposed",
sources/district-budget/text/budget-addendum-multi-scenario-financial-analysis.txt,forward,budget,,,,,,,11,Level Service column [wrapped],"illustrate the programmatic, staffing, and operational impacts of different funding levels. The four scenarios presented are: 1. Level Service Budget (Baseline)",
sources/district-budget/text/budget-hearing-fy20-proposed-lps-budget.txt,restatement,both,,,,5,repeated Actual columns [wrapped],"Wednesday, April 03, 2019 FY15 FY16 FY17 FY18 FY19 FY20 DESCRIPTION, SALARIES Actual Actual Actual Actual Budgeted Proposed",1,Proposed column [wrapped],===PAGE 1=== Lunenburg Public Schools FY20 Proposed Department Budget:  Non-Personnel,
sources/district-budget/text/budget-hearing-fy22-superintendent-39-s-recommended-budget.txt,restatement,both,,,,3,repeated Actual columns [wrapped],"FY22 Lunenburg Public Schools: Personnel Budget Recommended Budget:  March 17, 2021 FY18 FY19 FY20 FY21 FY22 % DESCRIPTION, SALARIES Actual Actual Actual Budgeted Proposed increase",1,Recommended column [wrapped],"===PAGE 1=== Lunenburg Public Schools FY22 Lunenburg Public Schools: Personnel Budget Recommended Budget:  March 17, 2021",
sources/district-budget/text/budget-hearing-superintendent-fy22-recommended-budget.txt,forward,budget,,,,,,,1,Recommended column [wrapped],===PAGE 1=== Superintendent’s Recommended,
sources/district-budget/text/budget-message-for-families-2-27-26.txt,forward,budget,,,,,,,13,Level Service column [wrapped],education. It gives them the tools they need to grow into active citizens and successfully choose their own paths in life. This budget is actually a careful compromise—it sits right in the middle betw,
sources/district-budget/text/community-forums-scheduled-on-school-department-budget.txt,forward,budget,,,,,,,6,Proposed column,"Two community forums on the proposed budget are scheduled on Monday, January 28, 2019.  At these forums, there will be a brief presentation followed by a question and answer period.  We are hoping tha",
sources/district-budget/text/faq-fy25-budget.txt,forward,budget,,,,,,,43,Recommended column [wrapped],We did not have ESSER programs. We used ESSER funds to hire counselors and academic intervention teaching staffing. All but two positions have been recommended to be cut.  We are,
sources/district-budget/text/final-budget-document.txt,restatement,both,,,,407,ACTUALS column [wrapped],"TOTAL EXPENSES: $9,169,982 $9,501,373 $9,378,489 $8,865,873 TOTAL SALARIES: $17,117,494 $19,019,443 $18,793,800 $17,706,417 TOTAL ACTUALS & BUDGET: $26,287,474 $28,520,816 $28,172,288 $26,572,288",1,Proposed column [wrapped],===PAGE 1=== LUNENBURG PUBLIC SCHOOLS FY27 PROPOSED BUDGET,
sources/district-budget/text/final-fy25-budget-4-3-24.txt,forward,budget,,,,,,,1,Budgeted column [wrapped],===PAGE 1=== FY24 FY25 % Budgeted Proposed increase,
sources/district-budget/text/final-fy26-sc-approved-budget-3-12-25-with-level-service-budget.txt,forward,budget,,,,,,,1,Budgeted column [wrapped],===PAGE 1=== FY24 FY25 Actual Budgeted Budgeted Dollar Change % Change Budgeted Dollar Change % Change,
sources/district-budget/text/final-fy26-town-manager-39-s-target-budget-approved-3-12-25.txt,forward,budget,,,,,,,1,Budgeted column [wrapped],===PAGE 1=== FY24 FY25 Actual Budgeted Budgeted Dollar Change % Change,
sources/district-budget/text/final-fy26-town-manager-39-s-target-budget.txt,forward,budget,,,,,,,1,Budgeted column [wrapped],===PAGE 1=== FY25 FY26 FY26 FY26 % increase Budgeted Level Adj Needs Based TM 030525 FY25 to FY26TM,
sources/district-budget/text/free-cash-presentation.txt,forward,budget,,,,,,,46,FY__ BUDGET column [wrapped],programs and interventions. ===PAGE 6=== Position well for FY27 Budget and,
sources/district-budget/text/frequently-asked-questions-november-town-meeting.txt,forward,budget,,,,,,,28,Proposed column [wrapped],"===PAGE 2=== Q: Why does the proposed funding prioritize the Primary School, THES, and",
sources/district-budget/text/fy-24-budget-update.txt,forward,budget,,,,,,,1,Proposed column [wrapped],===PAGE 1=== Proposed  FY24 Budget Update,
sources/district-budget/text/fy18-non-personnel-supt-recommended-budget-revised-6-6-17.txt,forward,budget,,,,,,,2,Budgeted column [wrapped],Non Personel School Budget FY16 FY17 FY18 Increase/ DESCRIPTION Actual Budgeted Supt. Recommend Decrease,
sources/district-budget/text/fy18-personnel-supt-recommended-budget-revised-6-6-17.txt,forward,budget,,,,,,,1,Budgeted column [wrapped],===PAGE 1=== FY17 FY18 Increase/Decrease DESCRIPTION Budgeted Supt. Recommended Supt. Recommended,
sources/district-budget/text/fy19-budget-hearing-document-4-4-18.txt,restatement,both,,,,3,repeated Actual columns [wrapped],"FY19 Superintendent of Schools Recommended Budget:  Personnel April 04, 2018 Budget Hearing FY14 FY15 FY16 FY17 FY18 FY19 Supt. % DESCRIPTION Actual Actual Actual Actual Budgeted Recommended increase",1,Recommended column [wrapped],"===PAGE 1=== Lunenburg Public Schools FY19 Superintendent of Schools Recommended Budget:  Personnel April 04, 2018 Budget Hearing",
