at,stream,board,date,cost_usd,result
2026-09-18T01:51:45Z,votes,sewer-commission,2026-08-25,0.1030,ok
2026-09-18T01:51:57Z,votes,lunenburg-municipal-building-design-committee,2026-08-17,0.0620,ok
2026-09-18T01:52:37Z,votes,cable-advisory-committee,2026-08-13,0.0900,ok
2026-09-18T01:53:10Z,votes,sewer-commission,2026-08-11,0.0720,ok
2026-09-18T01:53:27Z,votes,board-of-assessors,2026-08-11,0.0600,ok
2026-09-18T01:53:39Z,votes,planning-board,2026-08-10,0.0580,ok
2026-09-18T01:54:00Z,votes,board-of-assessors,2026-08-05,0.0720,ok
2026-09-18T01:54:30Z,votes,public-access-cable-committee-pacc,2026-08-03,0.0730,ok
2026-09-18T01:55:08Z,votes,sewer-commission,2026-07-28,0.0770,ok
2026-09-18T01:55:18Z,votes,lunenburg-municipal-building-design-committee,2026-07-28,0.0640,ok
2026-09-18T01:56:23Z,votes,planning-board,2026-07-27,0.0940,ok
2026-09-18T01:57:30Z,votes,lunenburg-300th-anniversary-committee,2026-07-27,0.0870,ok
2026-09-18T01:58:48Z,votes,trust-fund-commission,2026-07-24,0.0970,ok
2026-09-18T02:00:26Z,votes,finance-committee,2026-07-23,0.1110,ok
2026-09-18T02:00:36Z,votes,planning-board,2026-07-20,0.0570,ok
2026-09-18T02:01:38Z,votes,board-of-health,2026-07-20,0.0890,ok
2026-09-18T02:02:21Z,votes,conservation-commission,2026-07-15,0.0920,ok
2026-09-18T02:02:42Z,votes,sewer-commission,2026-07-14,0.0660,ok
2026-09-18T02:03:12Z,votes,council-on-aging,2026-07-14,0.0680,ok
2026-09-18T02:04:55Z,votes,planning-board,2026-07-13,0.1270,ok
2026-09-18T02:06:17Z,votes,public-access-cable-committee-pacc,2026-07-06,0.1140,ok
2026-09-18T02:06:41Z,votes,finance-committee-appointing-committee,2026-07-06,0.0660,ok
2026-09-18T02:07:31Z,votes,conservation-commission,2026-07-01,0.0980,ok
2026-09-18T02:07:50Z,votes,board-of-assessors,2026-07-01,0.0600,ok
2026-09-18T02:09:39Z,votes,sewer-commission,2026-06-30,0.1160,ok
2026-09-18T02:10:07Z,votes,lunenburg-municipal-building-design-committee,2026-06-29,0.0690,ok
2026-09-18T02:10:40Z,votes,lunenburg-300th-anniversary-committee,2026-06-29,0.0700,ok
2026-09-18T02:11:12Z,votes,planning-board,2026-06-22,0.0970,ok
2026-09-18T02:11:49Z,votes,library-board-of-trustees,2026-06-18,0.0940,ok
2026-09-18T02:12:33Z,votes,conservation-commission,2026-06-17,0.0990,ok
2026-09-18T02:13:40Z,votes,select-board,2026-06-16,0.0900,ok
2026-09-18T02:14:07Z,votes,lunenburg-municipal-building-design-committee,2026-06-15,0.0710,ok
2026-09-18T02:14:23Z,votes,board-of-health,2026-06-15,0.0670,ok
2026-09-18T02:14:45Z,votes,finance-committee,2026-06-11,0.0640,ok
2026-09-18T02:15:15Z,votes,sewer-commission,2026-06-09,0.0740,ok
2026-09-18T02:16:17Z,votes,council-on-aging,2026-06-09,0.0880,ok
2026-09-18T02:16:56Z,votes,planning-board,2026-06-08,0.0850,ok
2026-09-18T02:17:11Z,votes,cemetery-commission,2026-06-05,0.0600,ok
2026-09-18T02:18:23Z,votes,conservation-commission,2026-06-03,0.1050,ok
2026-09-18T02:20:05Z,votes,board-of-assessors,2026-06-03,0.1030,ok
2026-09-18T02:21:02Z,votes,public-access-cable-committee-pacc,2026-06-01,0.0840,ok
2026-09-18T02:21:33Z,votes,lunenburg-municipal-building-design-committee,2026-06-01,0.0700,ok
2026-09-18T02:21:51Z,votes,lunenburg-300th-anniversary-committee,2026-06-01,0.0610,ok
2026-09-18T02:22:13Z,votes,board-of-health,2026-06-01,0.0750,ok
2026-09-18T02:22:31Z,votes,finance-committee,2026-05-28,0.0660,ok
2026-09-18T02:23:29Z,votes,sewer-commission,2026-05-26,0.1020,ok
2026-09-18T02:25:31Z,votes,library-board-of-trustees,2026-05-21,0.1530,ok
2026-09-18T02:27:57Z,votes,conservation-commission,2026-05-20,0.1430,ok
2026-09-18T02:28:55Z,votes,select-board,2026-05-19,0.1190,ok
2026-09-18T02:29:08Z,votes,board-of-health,2026-05-18,0.0620,ok
2026-09-18T02:29:52Z,votes,cemetery-commission,2026-05-15,0.0750,ok
2026-09-18T02:30:25Z,votes,board-of-assessors,2026-05-13,0.0730,ok
2026-09-18T02:31:17Z,votes,sewer-commission,2026-05-12,0.0910,ok
2026-09-18T02:34:35Z,votes,select-board,2026-05-12,0.1840,ok
2026-09-18T02:36:07Z,votes,council-on-aging,2026-05-12,0.1040,ok
2026-09-18T02:37:47Z,votes,planning-board,2026-05-11,0.1190,ok
2026-09-18T02:38:06Z,votes,trust-fund-commission,2026-05-07,0.0690,ok
2026-09-18T02:38:48Z,votes,school-committee,2026-05-06,0.0780,ok
2026-09-18T02:40:59Z,votes,conservation-commission,2026-05-06,0.1480,ok
2026-09-18T02:41:27Z,votes,public-access-cable-committee-pacc,2026-05-04,0.0730,ok
2026-09-18T02:43:17Z,votes,board-of-health,2026-05-04,0.1080,ok
2026-09-18T02:45:14Z,votes,select-board,2026-04-30,0.1160,ok
2026-09-18T02:45:25Z,votes,sewer-commission,2026-04-28,0.0620,ok
2026-09-18T02:46:14Z,votes,planning-board,2026-04-27,0.0930,ok
2026-09-18T02:46:31Z,votes,lunenburg-municipal-building-design-committee,2026-04-27,0.0640,ok
2026-09-18T02:47:25Z,votes,lunenburg-300th-anniversary-committee,2026-04-27,0.0810,ok
2026-09-18T02:47:55Z,votes,trust-fund-commission,2026-04-23,0.0840,ok
2026-09-18T02:48:11Z,votes,cemetery-commission,2026-04-23,0.0610,ok
2026-09-18T02:48:27Z,votes,board-of-assessors,2026-04-22,0.0620,ok
2026-09-18T02:48:50Z,votes,library-board-of-trustees,2026-04-16,0.0880,ok
2026-09-18T02:50:30Z,votes,school-committee,2026-04-15,0.1330,ok
2026-09-18T02:51:38Z,votes,conservation-commission,2026-04-15,0.1200,ok
2026-09-18T02:52:01Z,votes,sewer-commission,2026-04-14,0.0720,ok
2026-09-18T02:53:34Z,votes,economic-development-committee,2026-04-14,0.1050,ok
2026-09-18T02:53:51Z,votes,council-on-aging,2026-04-14,0.0630,ok
2026-09-18T02:54:14Z,votes,planning-board,2026-04-13,0.0730,ok
2026-09-18T02:56:44Z,votes,trust-fund-commission,2026-04-09,0.1500,ok
2026-09-18T03:00:23Z,votes,board-of-assessors,2026-04-08,0.0700,ok
