first_seen,board,board_slug,meeting_date,kind,file_id,url,days_after_meeting_upper_bound
2026-09-08,Conservation Commission,conservation-commission,2026-09-12,agenda,8007,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_09122026-8007,
2026-09-08,Finance Committee,finance-committee,2026-09-10,agenda,8003,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_09102026-8003,
2026-09-08,Finance Committee,finance-committee,2026-09-10,agenda,8005,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_09102026-8005,
2026-09-08,Historical Commission,historical-commission,2026-09-15,agenda,8004,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_09152026-8004,
2026-09-08,Planning Board Public Hearing,planning-board-public-hearing,2026-09-28,agenda,8006,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_09282026-8006,
2026-09-08,Trust Fund Commission,trust-fund-commission,2026-09-10,agenda,8008,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_09102026-8008,
2026-09-11,Board of Assessors,board-of-assessors,2026-07-01,minutes,7885,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_07012026-7885,72
2026-09-11,Board of Assessors,board-of-assessors,2026-08-05,minutes,7942,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_08052026-7942,37
2026-09-11,Board of Assessors,board-of-assessors,2026-08-11,minutes,7956,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_08112026-7956,31
2026-09-11,By-Law Committee,by-law-committee,2026-09-15,agenda,8012,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_09152026-8012,
2026-09-11,Conservation Commission,conservation-commission,2026-09-12,agenda,8009,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_09122026-8009,
2026-09-11,Historical Commission,historical-commission,2026-09-10,agenda,8003,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_09102026-8003,1
2026-09-11,Planning Board,planning-board,2026-09-14,agenda,8010,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_09142026-8010,
2026-09-11,Public Access Cable Committee (PACC),public-access-cable-committee-pacc,2026-08-03,minutes,7929,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_08032026-7929,39
2026-09-11,Public Access Cable Committee (PACC),public-access-cable-committee-pacc,2026-09-16,agenda,8014,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_09162026-8014,
2026-09-11,Select Board,select-board,2026-09-15,agenda,8011,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_09152026-8011,
2026-09-11,Sewer Commission,sewer-commission,2026-08-25,minutes,7974,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_08252026-7974,17
2026-09-11,Stormwater Task Force,stormwater-task-force,2026-09-14,agenda,8013,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_09142026-8013,
