key,bytes,sha256,verified_at
MANIFEST.md,26414,3edf11e128271754794c3c7f9cdcafb60ef578179c5d0645df6f562f8cc2cede,2026-09-05T16:47:35Z
README.txt,3788,6ba5940cc4e74a0786b0b4d3b4ce0ab942bdd242c3d6f3d8eaec3e005cbca8bc,2026-09-05T17:59:13Z
analyses/athletics-ledger.md,26322,f1b0891ccebbdc48eec535016e165bc2b86adc108552d01c2a790496b8f1e328,2026-09-05T16:47:35Z
analyses/athletics.md,42236,4164abe25bbd3359842c032cd2d9129f390acbe51d37fff7f84fb2763f45a587,2026-09-05T16:47:36Z
analyses/budget-vs-actual.md,34387,526a91481bfd8d6a141e1d90f251d2cc1a876ab1a36f0e2cb91fb41d2c93457c,2026-09-05T16:47:36Z
analyses/charts/fy26-school-budget.svg,1835,037e39f13d319c063fec438a3b3c6bf066436fe3733f2a015c6e271f1efec0da,2026-09-05T16:47:36Z
analyses/charts/fy26-school-spend.svg,4575,b2ddac4359825da11f6f8f09e76ac06375119d6169bc56364b4fadeacb89484a,2026-09-05T16:47:37Z
analyses/charts/fy26-school-variance.svg,6594,1595614ade15a781fe0e44a0556b80991fd327f6167e20863ce49a8502a1503d,2026-09-05T16:47:37Z
analyses/charts/fy26-town-budget.svg,1861,05603f7027ef36f2ada7b58558ff451fee5a397e760a3f3adcec4eebde060688,2026-09-05T16:47:37Z
analyses/charts/fy26-town-spend.svg,4607,fd3034d0465102c76b63ec35e902d0d5fe73d9cfc20acd94c685c8b6c8b1fe21,2026-09-05T16:47:43Z
analyses/charts/fy26-town-variance.svg,6483,1dc0bb079b7b2434526baf958c1a6a807c92c5e71f260075f0f02c6162888175,2026-09-05T16:47:43Z
analyses/connecting-the-budget.md,5588,ae41aa0f390a70bbd4e587cdc2709b76f922d649ffc9c55d054b594dd15e3d2b,2026-09-05T16:47:44Z
analyses/connecting-the-budget.pdf,173991,d9d8cc4aceee423c858644a287fcf86feeb6bf1130619dd89c0ca7980d085635,2026-09-05T16:47:44Z
analyses/free-cash.md,17481,daa47e7adb4d77d967c621299ba242977dfeee61eb1035646585ecbac036bb92,2026-09-05T16:47:44Z
analyses/fy26-closeout-town.md,25399,c795329e63c4b2f07d125a01813bc783ef24ea0b48934b2acdf2bb0bc6369e5c,2026-09-05T16:47:45Z
analyses/fy26-closeout.md,51989,8b840c14099d3606a353604341a6daae57eb31499e97d1cef24d0d731cb28525,2026-09-05T16:47:45Z
analyses/fy26-closeout.pdf,836420,1b014da5c674c9b4a22aaa88f48022d50b60d26e9e3cdcbd8ad138b4c04c8a27,2026-09-05T16:47:45Z
analyses/fy27-and-the-override.md,9034,ecd22c4236375ad1c8037e225f90964dc994c0f4960ecef36e23993a4748c281,2026-09-05T16:47:51Z
analyses/fy27-cut-reconciliation.md,5161,a2a1fdc6f1b8ba4d37dfbf42e6c0b6112da265403be670c29c28418c008a8caa,2026-09-05T16:47:51Z
analyses/peer-districts.md,9018,ab6bdb11829ac11648675e41d0e840943ad61320d83faef5cbe594f839c0f961,2026-09-05T16:47:52Z
analyses/questions.md,40607,3ba096d55faad5c760a9afb2ea3985f5ad2b7508c06b01ee8fa0e282f21b511c,2026-09-08T15:44:11Z
analyses/show-your-work.md,94205,c91821568ecb80d6334059a60aa72252a9ee09e0f10eba0154ed30d4abfc0723,2026-09-05T16:47:52Z
analyses/sped-and-funds.md,25359,9e855fdf6a94ae9fb15305cb6e5fcfaaa377440e7a344ea4bbafd965a8c39020,2026-09-05T16:47:52Z
analyses/sped-and-the-curve.md,39498,0c3e81c711982b360acd1e761500a4773a46c571172c4e7a4888f9e5e2531d29,2026-09-05T16:47:53Z
