date,kind,board,our_copy,town_pdf,bytes
2026-09-08,agenda,public-access-cable-committee-pacc,https://lunenburgbudgetproject.org/docs/minutes/text/public-access-cable-committee-pacc/2026-09-08-agenda-7991.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_09082026-7991,1554
2026-08-03,agenda,public-access-cable-committee-pacc,https://lunenburgbudgetproject.org/docs/minutes/text/public-access-cable-committee-pacc/2026-08-03-agenda-7929.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_08032026-7929,1552
2026-07-06,agenda,public-access-cable-committee-pacc,https://lunenburgbudgetproject.org/docs/minutes/text/public-access-cable-committee-pacc/2026-07-06-agenda-7874.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_07062026-7874,1645
2026-07-06,minutes,public-access-cable-committee-pacc,https://lunenburgbudgetproject.org/docs/minutes/text/public-access-cable-committee-pacc/2026-07-06-minutes-7874.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_07062026-7874,2740
2026-06-01,agenda,public-access-cable-committee-pacc,https://lunenburgbudgetproject.org/docs/minutes/text/public-access-cable-committee-pacc/2026-06-01-agenda-7823.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_06012026-7823,1622
2026-06-01,minutes,public-access-cable-committee-pacc,https://lunenburgbudgetproject.org/docs/minutes/text/public-access-cable-committee-pacc/2026-06-01-minutes-7823.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_06012026-7823,2333
2026-05-04,agenda,public-access-cable-committee-pacc,https://lunenburgbudgetproject.org/docs/minutes/text/public-access-cable-committee-pacc/2026-05-04-agenda-7788.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_05042026-7788,1620
2026-05-04,minutes,public-access-cable-committee-pacc,https://lunenburgbudgetproject.org/docs/minutes/text/public-access-cable-committee-pacc/2026-05-04-minutes-7788.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_05042026-7788,2170
2026-04-06,agenda,public-access-cable-committee-pacc,https://lunenburgbudgetproject.org/docs/minutes/text/public-access-cable-committee-pacc/2026-04-06-agenda-7708.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_04062026-7708,1607
2026-04-06,minutes,public-access-cable-committee-pacc,https://lunenburgbudgetproject.org/docs/minutes/text/public-access-cable-committee-pacc/2026-04-06-minutes-7708.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_04062026-7708,2296
2026-03-02,agenda,public-access-cable-committee-pacc,https://lunenburgbudgetproject.org/docs/minutes/text/public-access-cable-committee-pacc/2026-03-02-agenda-7667.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_03022026-7667,1632
2026-03-02,minutes,public-access-cable-committee-pacc,https://lunenburgbudgetproject.org/docs/minutes/text/public-access-cable-committee-pacc/2026-03-02-minutes-7667.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_03022026-7667,3208
2026-02-02,agenda,public-access-cable-committee-pacc,https://lunenburgbudgetproject.org/docs/minutes/text/public-access-cable-committee-pacc/2026-02-02-agenda-7605.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_02022026-7605,1653
2026-02-02,minutes,public-access-cable-committee-pacc,https://lunenburgbudgetproject.org/docs/minutes/text/public-access-cable-committee-pacc/2026-02-02-minutes-7605.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_02022026-7605,3120
2026-01-05,agenda,public-access-cable-committee-pacc,https://lunenburgbudgetproject.org/docs/minutes/text/public-access-cable-committee-pacc/2026-01-05-agenda-7561.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_01052026-7561,1626
2025-12-02,agenda,public-access-cable-committee-pacc,https://lunenburgbudgetproject.org/docs/minutes/text/public-access-cable-committee-pacc/2025-12-02-agenda-7506.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_12022025-7506,1640
2025-11-03,agenda,public-access-cable-committee-pacc,https://lunenburgbudgetproject.org/docs/minutes/text/public-access-cable-committee-pacc/2025-11-03-agenda-7489.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_11032025-7489,1688
2025-11-03,minutes,public-access-cable-committee-pacc,https://lunenburgbudgetproject.org/docs/minutes/text/public-access-cable-committee-pacc/2025-11-03-minutes-7489.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_11032025-7489,2936
2025-10-06,agenda,public-access-cable-committee-pacc,https://lunenburgbudgetproject.org/docs/minutes/text/public-access-cable-committee-pacc/2025-10-06-agenda-7433.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_10062025-7433,1593
2025-10-06,minutes,public-access-cable-committee-pacc,https://lunenburgbudgetproject.org/docs/minutes/text/public-access-cable-committee-pacc/2025-10-06-minutes-7433.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_10062025-7433,2269
2025-09-22,agenda,public-access-cable-committee-pacc,https://lunenburgbudgetproject.org/docs/minutes/text/public-access-cable-committee-pacc/2025-09-22-agenda-7401.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_09222025-7401,1378
2025-09-22,minutes,public-access-cable-committee-pacc,https://lunenburgbudgetproject.org/docs/minutes/text/public-access-cable-committee-pacc/2025-09-22-minutes-7401.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_09222025-7401,1332
2025-09-09,agenda,public-access-cable-committee-pacc,https://lunenburgbudgetproject.org/docs/minutes/text/public-access-cable-committee-pacc/2025-09-09-agenda-7368.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_09092025-7368,1481
2025-09-09,minutes,public-access-cable-committee-pacc,https://lunenburgbudgetproject.org/docs/minutes/text/public-access-cable-committee-pacc/2025-09-09-minutes-7368.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_09092025-7368,2880
2025-08-04,agenda,public-access-cable-committee-pacc,https://lunenburgbudgetproject.org/docs/minutes/text/public-access-cable-committee-pacc/2025-08-04-agenda-7324.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_08042025-7324,1493
