date,kind,board,our_copy,town_pdf,bytes
2026-02-25,agenda,master-plan-steering-committee,https://lunenburgbudgetproject.org/docs/minutes/text/master-plan-steering-committee/2026-02-25-agenda-7661.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_02252026-7661,1960
2025-12-10,agenda,master-plan-steering-committee,https://lunenburgbudgetproject.org/docs/minutes/text/master-plan-steering-committee/2025-12-10-agenda-7552.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_12102025-7552,1997
2025-11-12,agenda,master-plan-steering-committee,https://lunenburgbudgetproject.org/docs/minutes/text/master-plan-steering-committee/2025-11-12-agenda-7503.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_11122025-7503,2187
2025-10-15,agenda,master-plan-steering-committee,https://lunenburgbudgetproject.org/docs/minutes/text/master-plan-steering-committee/2025-10-15-agenda-7452.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_10152025-7452,2145
2025-09-24,agenda,master-plan-steering-committee,https://lunenburgbudgetproject.org/docs/minutes/text/master-plan-steering-committee/2025-09-24-agenda-7416.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_09242025-7416,3133
2025-09-10,agenda,master-plan-steering-committee,https://lunenburgbudgetproject.org/docs/minutes/text/master-plan-steering-committee/2025-09-10-agenda-7396.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_09102025-7396,3139
2025-08-27,agenda,master-plan-steering-committee,https://lunenburgbudgetproject.org/docs/minutes/text/master-plan-steering-committee/2025-08-27-agenda-7366.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_08272025-7366,3103
2025-08-27,minutes,master-plan-steering-committee,https://lunenburgbudgetproject.org/docs/minutes/text/master-plan-steering-committee/2025-08-27-minutes-7366.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_08272025-7366,2103
2025-08-13,agenda,master-plan-steering-committee,https://lunenburgbudgetproject.org/docs/minutes/text/master-plan-steering-committee/2025-08-13-agenda-7348.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_08132025-7348,3117
2025-08-13,minutes,master-plan-steering-committee,https://lunenburgbudgetproject.org/docs/minutes/text/master-plan-steering-committee/2025-08-13-minutes-7348.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_08132025-7348,3237
2025-07-23,agenda,master-plan-steering-committee,https://lunenburgbudgetproject.org/docs/minutes/text/master-plan-steering-committee/2025-07-23-agenda-7321.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_07232025-7321,3007
