date,kind,board,our_copy,town_pdf,bytes
2026-08-27,agenda,finance-committee,https://lunenburgbudgetproject.org/docs/minutes/text/finance-committee/2026-08-27-agenda-7970.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_08272026-7970,2924
2026-08-13,agenda,finance-committee,https://lunenburgbudgetproject.org/docs/minutes/text/finance-committee/2026-08-13-agenda-7960.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_08132026-7960,2947
2026-07-23,agenda,finance-committee,https://lunenburgbudgetproject.org/docs/minutes/text/finance-committee/2026-07-23-agenda-7917.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_07232026-7917,2947
2026-07-14,agenda,finance-committee,https://lunenburgbudgetproject.org/docs/minutes/text/finance-committee/2026-07-14-agenda-7899.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_07142026-7899,2508
2026-06-11,agenda,finance-committee,https://lunenburgbudgetproject.org/docs/minutes/text/finance-committee/2026-06-11-agenda-7845.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_06112026-7845,2719
2026-06-11,minutes,finance-committee,https://lunenburgbudgetproject.org/docs/minutes/text/finance-committee/2026-06-11-minutes-7845.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_06112026-7845,2757
2026-05-28,agenda,finance-committee,https://lunenburgbudgetproject.org/docs/minutes/text/finance-committee/2026-05-28-agenda-7828.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_05282026-7828,2829
2026-05-28,minutes,finance-committee,https://lunenburgbudgetproject.org/docs/minutes/text/finance-committee/2026-05-28-minutes-7828.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_05282026-7828,4328
2026-04-06,agenda,finance-committee,https://lunenburgbudgetproject.org/docs/minutes/text/finance-committee/2026-04-06-agenda-7747.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_04062026-7747,2815
2026-04-06,minutes,finance-committee,https://lunenburgbudgetproject.org/docs/minutes/text/finance-committee/2026-04-06-minutes-7747.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_04062026-7747,6284
2026-04-02,agenda,finance-committee,https://lunenburgbudgetproject.org/docs/minutes/text/finance-committee/2026-04-02-agenda-7746.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_04022026-7746,2872
2026-04-02,minutes,finance-committee,https://lunenburgbudgetproject.org/docs/minutes/text/finance-committee/2026-04-02-minutes-7746.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_04022026-7746,10171
2026-03-26,agenda,finance-committee,https://lunenburgbudgetproject.org/docs/minutes/text/finance-committee/2026-03-26-agenda-7737.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_03262026-7737,3000
2026-03-26,minutes,finance-committee,https://lunenburgbudgetproject.org/docs/minutes/text/finance-committee/2026-03-26-minutes-7737.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_03262026-7737,16370
2026-03-24,agenda,finance-committee,https://lunenburgbudgetproject.org/docs/minutes/text/finance-committee/2026-03-24-agenda-7730.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_03242026-7730,3134
2026-03-19,agenda,finance-committee,https://lunenburgbudgetproject.org/docs/minutes/text/finance-committee/2026-03-19-agenda-7720.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_03192026-7720,3541
2026-03-19,agenda,finance-committee,https://lunenburgbudgetproject.org/docs/minutes/text/finance-committee/2026-03-19-agenda-7723.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_03192026-7723,3541
2026-03-19,minutes,finance-committee,https://lunenburgbudgetproject.org/docs/minutes/text/finance-committee/2026-03-19-minutes-7723.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_03192026-7723,1677
2026-03-12,agenda,finance-committee,https://lunenburgbudgetproject.org/docs/minutes/text/finance-committee/2026-03-12-agenda-7683.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_03122026-7683,2911
