date,kind,board,our_copy,town_pdf,bytes
2026-04-30,agenda,school-advisory-councils-committees,https://lunenburgbudgetproject.org/docs/minutes/text/school-advisory-councils-committees/2026-04-30-agenda-7789.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_04302026-7789,1083
2026-04-28,agenda,school-advisory-councils-committees,https://lunenburgbudgetproject.org/docs/minutes/text/school-advisory-councils-committees/2026-04-28-agenda-7770.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_04282026-7770,800
2026-04-27,agenda,school-advisory-councils-committees,https://lunenburgbudgetproject.org/docs/minutes/text/school-advisory-councils-committees/2026-04-27-agenda-7739.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_04272026-7739,1007
2026-03-26,agenda,school-advisory-councils-committees,https://lunenburgbudgetproject.org/docs/minutes/text/school-advisory-councils-committees/2026-03-26-agenda-7726.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_03262026-7726,1151
2026-03-26,minutes,school-advisory-councils-committees,https://lunenburgbudgetproject.org/docs/minutes/text/school-advisory-councils-committees/2026-03-26-minutes-7726.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_03262026-7726,4143
2026-03-24,agenda,school-advisory-councils-committees,https://lunenburgbudgetproject.org/docs/minutes/text/school-advisory-councils-committees/2026-03-24-agenda-7725.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_03242026-7725,807
2026-03-16,agenda,school-advisory-councils-committees,https://lunenburgbudgetproject.org/docs/minutes/text/school-advisory-councils-committees/2026-03-16-agenda-7713.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_03162026-7713,982
2026-02-12,agenda,school-advisory-councils-committees,https://lunenburgbudgetproject.org/docs/minutes/text/school-advisory-councils-committees/2026-02-12-agenda-7641.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_02122026-7641,1071
2026-02-12,minutes,school-advisory-councils-committees,https://lunenburgbudgetproject.org/docs/minutes/text/school-advisory-councils-committees/2026-02-12-minutes-7641.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_02122026-7641,1760
2026-02-10,agenda,school-advisory-councils-committees,https://lunenburgbudgetproject.org/docs/minutes/text/school-advisory-councils-committees/2026-02-10-agenda-7642.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_02102026-7642,840
2026-01-26,agenda,school-advisory-councils-committees,https://lunenburgbudgetproject.org/docs/minutes/text/school-advisory-councils-committees/2026-01-26-agenda-7615.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_01262026-7615,1008
2025-12-16,agenda,school-advisory-councils-committees,https://lunenburgbudgetproject.org/docs/minutes/text/school-advisory-councils-committees/2025-12-16-agenda-7559.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_12162025-7559,1142
2025-12-11,agenda,school-advisory-councils-committees,https://lunenburgbudgetproject.org/docs/minutes/text/school-advisory-councils-committees/2025-12-11-agenda-7558.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_12112025-7558,959
2025-12-11,minutes,school-advisory-councils-committees,https://lunenburgbudgetproject.org/docs/minutes/text/school-advisory-councils-committees/2025-12-11-minutes-7558.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_12112025-7558,3830
2025-12-09,agenda,school-advisory-councils-committees,https://lunenburgbudgetproject.org/docs/minutes/text/school-advisory-councils-committees/2025-12-09-agenda-7551.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_12092025-7551,813
2025-10-30,agenda,school-advisory-councils-committees,https://lunenburgbudgetproject.org/docs/minutes/text/school-advisory-councils-committees/2025-10-30-agenda-7484.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_10302025-7484,874
2025-10-30,minutes,school-advisory-councils-committees,https://lunenburgbudgetproject.org/docs/minutes/text/school-advisory-councils-committees/2025-10-30-minutes-7484.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_10302025-7484,1997
2025-10-28,agenda,school-advisory-councils-committees,https://lunenburgbudgetproject.org/docs/minutes/text/school-advisory-councils-committees/2025-10-28-agenda-7481.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_10282025-7481,816
