date,kind,board,our_copy,town_pdf,bytes
2026-08-26,agenda,parks-commission,https://lunenburgbudgetproject.org/docs/minutes/text/parks-commission/2026-08-26-agenda-7976.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_08262026-7976,2268
2026-08-10,agenda,parks-commission,https://lunenburgbudgetproject.org/docs/minutes/text/parks-commission/2026-08-10-agenda-7946.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_08102026-7946,1267
2026-07-22,agenda,parks-commission,https://lunenburgbudgetproject.org/docs/minutes/text/parks-commission/2026-07-22-agenda-7912.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_07222026-7912,2274
2026-06-24,agenda,parks-commission,https://lunenburgbudgetproject.org/docs/minutes/text/parks-commission/2026-06-24-agenda-7864.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_06242026-7864,2161
2026-06-24,minutes,parks-commission,https://lunenburgbudgetproject.org/docs/minutes/text/parks-commission/2026-06-24-minutes-7864.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_06242026-7864,8364
2026-05-27,agenda,parks-commission,https://lunenburgbudgetproject.org/docs/minutes/text/parks-commission/2026-05-27-agenda-7826.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_05272026-7826,2382
2026-05-27,minutes,parks-commission,https://lunenburgbudgetproject.org/docs/minutes/text/parks-commission/2026-05-27-minutes-7826.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_05272026-7826,15815
2026-04-22,agenda,parks-commission,https://lunenburgbudgetproject.org/docs/minutes/text/parks-commission/2026-04-22-agenda-7774.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_04222026-7774,2444
2026-03-25,agenda,parks-commission,https://lunenburgbudgetproject.org/docs/minutes/text/parks-commission/2026-03-25-agenda-7733.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_03252026-7733,2203
2026-03-25,minutes,parks-commission,https://lunenburgbudgetproject.org/docs/minutes/text/parks-commission/2026-03-25-minutes-7733.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_03252026-7733,6074
2026-03-04,agenda,parks-commission,https://lunenburgbudgetproject.org/docs/minutes/text/parks-commission/2026-03-04-agenda-7685.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_03042026-7685,2361
2026-03-04,minutes,parks-commission,https://lunenburgbudgetproject.org/docs/minutes/text/parks-commission/2026-03-04-minutes-7685.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_03042026-7685,9054
2026-02-03,agenda,parks-commission,https://lunenburgbudgetproject.org/docs/minutes/text/parks-commission/2026-02-03-agenda-7622.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_02032026-7622,2552
2026-02-03,minutes,parks-commission,https://lunenburgbudgetproject.org/docs/minutes/text/parks-commission/2026-02-03-minutes-7622.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_02032026-7622,11559
2026-01-28,agenda,parks-commission,https://lunenburgbudgetproject.org/docs/minutes/text/parks-commission/2026-01-28-agenda-7621.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_01282026-7621,2383
2026-01-28,minutes,parks-commission,https://lunenburgbudgetproject.org/docs/minutes/text/parks-commission/2026-01-28-minutes-7621.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_01282026-7621,10987
2025-12-17,agenda,parks-commission,https://lunenburgbudgetproject.org/docs/minutes/text/parks-commission/2025-12-17-agenda-7570.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_12172025-7570,2949
2025-10-27,agenda,parks-commission,https://lunenburgbudgetproject.org/docs/minutes/text/parks-commission/2025-10-27-agenda-7480.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_10272025-7480,2564
2025-10-27,minutes,parks-commission,https://lunenburgbudgetproject.org/docs/minutes/text/parks-commission/2025-10-27-minutes-7480.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_10272025-7480,7028
2025-10-22,agenda,parks-commission,https://lunenburgbudgetproject.org/docs/minutes/text/parks-commission/2025-10-22-agenda-7468.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_10222025-7468,2811
2025-09-24,agenda,parks-commission,https://lunenburgbudgetproject.org/docs/minutes/text/parks-commission/2025-09-24-agenda-7417.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_09242025-7417,3123
2025-07-30,agenda,parks-commission,https://lunenburgbudgetproject.org/docs/minutes/text/parks-commission/2025-07-30-agenda-7327.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_07302025-7327,2791
2025-07-30,minutes,parks-commission,https://lunenburgbudgetproject.org/docs/minutes/text/parks-commission/2025-07-30-minutes-7327.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_07302025-7327,19101
2025-06-04,agenda,parks-commission,https://lunenburgbudgetproject.org/docs/minutes/text/parks-commission/2025-06-04-agenda-7246.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_06042025-7246,1631
2025-06-04,minutes,parks-commission,https://lunenburgbudgetproject.org/docs/minutes/text/parks-commission/2025-06-04-minutes-7246.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_06042025-7246,16561
2025-04-26,agenda,parks-commission,https://lunenburgbudgetproject.org/docs/minutes/text/parks-commission/2025-04-26-agenda-7146.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_04262025-7146,1093
