date,kind,board,our_copy,town_pdf,bytes
2026-08-19,agenda,conservation-commission,https://lunenburgbudgetproject.org/docs/minutes/text/conservation-commission/2026-08-19-agenda-7969.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_08192026-7969,4101
2026-08-15,agenda,conservation-commission,https://lunenburgbudgetproject.org/docs/minutes/text/conservation-commission/2026-08-15-agenda-7963.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_08152026-7963,658
2026-08-05,agenda,conservation-commission,https://lunenburgbudgetproject.org/docs/minutes/text/conservation-commission/2026-08-05-agenda-7944.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_08052026-7944,4476
2026-08-01,agenda,conservation-commission,https://lunenburgbudgetproject.org/docs/minutes/text/conservation-commission/2026-08-01-agenda-7931.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_08012026-7931,682
2026-07-15,agenda,conservation-commission,https://lunenburgbudgetproject.org/docs/minutes/text/conservation-commission/2026-07-15-agenda-7909.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_07152026-7909,4650
2026-07-15,minutes,conservation-commission,https://lunenburgbudgetproject.org/docs/minutes/text/conservation-commission/2026-07-15-minutes-7909.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_07152026-7909,14950
2026-07-11,agenda,conservation-commission,https://lunenburgbudgetproject.org/docs/minutes/text/conservation-commission/2026-07-11-agenda-7895.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_07112026-7895,576
2026-07-01,agenda,conservation-commission,https://lunenburgbudgetproject.org/docs/minutes/text/conservation-commission/2026-07-01-agenda-7880.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_07012026-7880,4706
2026-07-01,minutes,conservation-commission,https://lunenburgbudgetproject.org/docs/minutes/text/conservation-commission/2026-07-01-minutes-7880.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_07012026-7880,15696
2026-06-27,agenda,conservation-commission,https://lunenburgbudgetproject.org/docs/minutes/text/conservation-commission/2026-06-27-agenda-7873.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_06272026-7873,1226
2026-06-17,agenda,conservation-commission,https://lunenburgbudgetproject.org/docs/minutes/text/conservation-commission/2026-06-17-agenda-7861.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_06172026-7861,4596
2026-06-17,minutes,conservation-commission,https://lunenburgbudgetproject.org/docs/minutes/text/conservation-commission/2026-06-17-minutes-7861.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_06172026-7861,10611
2026-06-13,agenda,conservation-commission,https://lunenburgbudgetproject.org/docs/minutes/text/conservation-commission/2026-06-13-agenda-7849.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_06132026-7849,734
2026-06-03,agenda,conservation-commission,https://lunenburgbudgetproject.org/docs/minutes/text/conservation-commission/2026-06-03-agenda-7837.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_06032026-7837,4105
2026-06-03,minutes,conservation-commission,https://lunenburgbudgetproject.org/docs/minutes/text/conservation-commission/2026-06-03-minutes-7837.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_06032026-7837,10222
