date,kind,board,our_copy,town_pdf,bytes
2026-08-11,agenda,council-on-aging,https://lunenburgbudgetproject.org/docs/minutes/text/council-on-aging/2026-08-11-agenda-7952.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_08112026-7952,1502
2026-07-14,agenda,council-on-aging,https://lunenburgbudgetproject.org/docs/minutes/text/council-on-aging/2026-07-14-agenda-7894.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_07142026-7894,1552
2026-07-14,minutes,council-on-aging,https://lunenburgbudgetproject.org/docs/minutes/text/council-on-aging/2026-07-14-minutes-7894.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_07142026-7894,55
2026-06-09,agenda,council-on-aging,https://lunenburgbudgetproject.org/docs/minutes/text/council-on-aging/2026-06-09-agenda-7844.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_06092026-7844,13
2026-06-09,minutes,council-on-aging,https://lunenburgbudgetproject.org/docs/minutes/text/council-on-aging/2026-06-09-minutes-7844.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_06092026-7844,5443
2026-05-12,agenda,council-on-aging,https://lunenburgbudgetproject.org/docs/minutes/text/council-on-aging/2026-05-12-agenda-7799.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_05122026-7799,1255
2026-05-12,minutes,council-on-aging,https://lunenburgbudgetproject.org/docs/minutes/text/council-on-aging/2026-05-12-minutes-7799.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_05122026-7799,6280
2026-04-14,agenda,council-on-aging,https://lunenburgbudgetproject.org/docs/minutes/text/council-on-aging/2026-04-14-agenda-7763.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_04142026-7763,1469
2026-04-14,minutes,council-on-aging,https://lunenburgbudgetproject.org/docs/minutes/text/council-on-aging/2026-04-14-minutes-7763.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_04142026-7763,5041
2026-03-10,agenda,council-on-aging,https://lunenburgbudgetproject.org/docs/minutes/text/council-on-aging/2026-03-10-agenda-7695.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_03102026-7695,1724
2026-03-10,minutes,council-on-aging,https://lunenburgbudgetproject.org/docs/minutes/text/council-on-aging/2026-03-10-minutes-7695.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_03102026-7695,3800
2026-02-10,agenda,council-on-aging,https://lunenburgbudgetproject.org/docs/minutes/text/council-on-aging/2026-02-10-agenda-7638.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_02102026-7638,1383
2026-02-10,minutes,council-on-aging,https://lunenburgbudgetproject.org/docs/minutes/text/council-on-aging/2026-02-10-minutes-7638.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_02102026-7638,4104
2026-01-13,agenda,council-on-aging,https://lunenburgbudgetproject.org/docs/minutes/text/council-on-aging/2026-01-13-agenda-7598.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_01132026-7598,1288
2026-01-13,minutes,council-on-aging,https://lunenburgbudgetproject.org/docs/minutes/text/council-on-aging/2026-01-13-minutes-7598.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_01132026-7598,27
2025-12-09,agenda,council-on-aging,https://lunenburgbudgetproject.org/docs/minutes/text/council-on-aging/2025-12-09-agenda-7553.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_12092025-7553,1407
2025-12-09,minutes,council-on-aging,https://lunenburgbudgetproject.org/docs/minutes/text/council-on-aging/2025-12-09-minutes-7553.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_12092025-7553,6716
2025-11-18,agenda,council-on-aging,https://lunenburgbudgetproject.org/docs/minutes/text/council-on-aging/2025-11-18-agenda-7517.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_11182025-7517,1352
2025-11-18,minutes,council-on-aging,https://lunenburgbudgetproject.org/docs/minutes/text/council-on-aging/2025-11-18-minutes-7517.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_11182025-7517,6057
2025-10-14,agenda,council-on-aging,https://lunenburgbudgetproject.org/docs/minutes/text/council-on-aging/2025-10-14-agenda-7443.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_10142025-7443,1415
2025-10-14,minutes,council-on-aging,https://lunenburgbudgetproject.org/docs/minutes/text/council-on-aging/2025-10-14-minutes-7443.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_10142025-7443,6849
2025-09-09,agenda,council-on-aging,https://lunenburgbudgetproject.org/docs/minutes/text/council-on-aging/2025-09-09-agenda-7374.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_09092025-7374,1323
2025-09-09,minutes,council-on-aging,https://lunenburgbudgetproject.org/docs/minutes/text/council-on-aging/2025-09-09-minutes-7374.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_09092025-7374,5225
2025-08-12,agenda,council-on-aging,https://lunenburgbudgetproject.org/docs/minutes/text/council-on-aging/2025-08-12-agenda-7339.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_08122025-7339,1465
2025-08-12,minutes,council-on-aging,https://lunenburgbudgetproject.org/docs/minutes/text/council-on-aging/2025-08-12-minutes-7339.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_08122025-7339,5198
2025-07-08,agenda,council-on-aging,https://lunenburgbudgetproject.org/docs/minutes/text/council-on-aging/2025-07-08-agenda-7292.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_07082025-7292,1494
2025-07-08,minutes,council-on-aging,https://lunenburgbudgetproject.org/docs/minutes/text/council-on-aging/2025-07-08-minutes-7292.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_07082025-7292,5429
2025-06-10,agenda,council-on-aging,https://lunenburgbudgetproject.org/docs/minutes/text/council-on-aging/2025-06-10-agenda-7252.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_06102025-7252,1390
2025-06-10,minutes,council-on-aging,https://lunenburgbudgetproject.org/docs/minutes/text/council-on-aging/2025-06-10-minutes-7252.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_06102025-7252,7594
2025-05-13,agenda,council-on-aging,https://lunenburgbudgetproject.org/docs/minutes/text/council-on-aging/2025-05-13-agenda-7216.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_05132025-7216,13
2025-05-13,minutes,council-on-aging,https://lunenburgbudgetproject.org/docs/minutes/text/council-on-aging/2025-05-13-minutes-7216.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_05132025-7216,7544
2025-04-08,agenda,council-on-aging,https://lunenburgbudgetproject.org/docs/minutes/text/council-on-aging/2025-04-08-agenda-7135.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_04082025-7135,1510
2025-04-08,minutes,council-on-aging,https://lunenburgbudgetproject.org/docs/minutes/text/council-on-aging/2025-04-08-minutes-7135.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_04082025-7135,4525
2025-03-11,agenda,council-on-aging,https://lunenburgbudgetproject.org/docs/minutes/text/council-on-aging/2025-03-11-agenda-7090.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_03112025-7090,1478
2025-03-11,minutes,council-on-aging,https://lunenburgbudgetproject.org/docs/minutes/text/council-on-aging/2025-03-11-minutes-7090.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_03112025-7090,3887
2025-02-11,agenda,council-on-aging,https://lunenburgbudgetproject.org/docs/minutes/text/council-on-aging/2025-02-11-agenda-7014.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_02112025-7014,1429
2025-02-11,minutes,council-on-aging,https://lunenburgbudgetproject.org/docs/minutes/text/council-on-aging/2025-02-11-minutes-7014.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_02112025-7014,27
2025-01-14,agenda,council-on-aging,https://lunenburgbudgetproject.org/docs/minutes/text/council-on-aging/2025-01-14-agenda-6951.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_01142025-6951,13
2025-01-14,minutes,council-on-aging,https://lunenburgbudgetproject.org/docs/minutes/text/council-on-aging/2025-01-14-minutes-6951.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_01142025-6951,4188
