date,kind,board,our_copy,town_pdf,bytes
2026-07-08,agenda,open-space-committee,https://lunenburgbudgetproject.org/docs/minutes/text/open-space-committee/2026-07-08-agenda-7887.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_07082026-7887,2484
2026-06-10,agenda,open-space-committee,https://lunenburgbudgetproject.org/docs/minutes/text/open-space-committee/2026-06-10-agenda-7846.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_06102026-7846,2430
2026-05-13,agenda,open-space-committee,https://lunenburgbudgetproject.org/docs/minutes/text/open-space-committee/2026-05-13-agenda-7800.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_05132026-7800,2542
2026-04-08,agenda,open-space-committee,https://lunenburgbudgetproject.org/docs/minutes/text/open-space-committee/2026-04-08-agenda-7742.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_04082026-7742,2483
2026-03-11,agenda,open-space-committee,https://lunenburgbudgetproject.org/docs/minutes/text/open-space-committee/2026-03-11-agenda-7691.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_03112026-7691,2434
2026-03-11,minutes,open-space-committee,https://lunenburgbudgetproject.org/docs/minutes/text/open-space-committee/2026-03-11-minutes-7691.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_03112026-7691,1345
2026-02-11,agenda,open-space-committee,https://lunenburgbudgetproject.org/docs/minutes/text/open-space-committee/2026-02-11-agenda-7640.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_02112026-7640,2432
2026-02-11,minutes,open-space-committee,https://lunenburgbudgetproject.org/docs/minutes/text/open-space-committee/2026-02-11-minutes-7640.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_02112026-7640,2578
2025-12-10,agenda,open-space-committee,https://lunenburgbudgetproject.org/docs/minutes/text/open-space-committee/2025-12-10-agenda-7549.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_12102025-7549,2531
2025-11-19,agenda,open-space-committee,https://lunenburgbudgetproject.org/docs/minutes/text/open-space-committee/2025-11-19-agenda-7513.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_11192025-7513,2518
2025-11-19,minutes,open-space-committee,https://lunenburgbudgetproject.org/docs/minutes/text/open-space-committee/2025-11-19-minutes-7513.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_11192025-7513,3187
2025-10-08,agenda,open-space-committee,https://lunenburgbudgetproject.org/docs/minutes/text/open-space-committee/2025-10-08-agenda-7442.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_10082025-7442,2472
2025-10-08,minutes,open-space-committee,https://lunenburgbudgetproject.org/docs/minutes/text/open-space-committee/2025-10-08-minutes-7442.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_10082025-7442,1811
2025-09-03,agenda,open-space-committee,https://lunenburgbudgetproject.org/docs/minutes/text/open-space-committee/2025-09-03-agenda-7370.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_09032025-7370,2769
2025-08-13,agenda,open-space-committee,https://lunenburgbudgetproject.org/docs/minutes/text/open-space-committee/2025-08-13-agenda-7342.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_08132025-7342,2793
2025-08-13,minutes,open-space-committee,https://lunenburgbudgetproject.org/docs/minutes/text/open-space-committee/2025-08-13-minutes-7342.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_08132025-7342,1722
2025-06-09,agenda,open-space-committee,https://lunenburgbudgetproject.org/docs/minutes/text/open-space-committee/2025-06-09-agenda-7259.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_06092025-7259,2302
2025-05-14,agenda,open-space-committee,https://lunenburgbudgetproject.org/docs/minutes/text/open-space-committee/2025-05-14-agenda-7221.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_05142025-7221,1920
2025-05-14,minutes,open-space-committee,https://lunenburgbudgetproject.org/docs/minutes/text/open-space-committee/2025-05-14-minutes-7221.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_05142025-7221,1784
2025-04-09,agenda,open-space-committee,https://lunenburgbudgetproject.org/docs/minutes/text/open-space-committee/2025-04-09-agenda-7147.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_04092025-7147,1013
2025-02-12,agenda,open-space-committee,https://lunenburgbudgetproject.org/docs/minutes/text/open-space-committee/2025-02-12-agenda-7026.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_02122025-7026,1926
2025-02-12,minutes,open-space-committee,https://lunenburgbudgetproject.org/docs/minutes/text/open-space-committee/2025-02-12-minutes-7026.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_02122025-7026,3416
2025-01-08,agenda,open-space-committee,https://lunenburgbudgetproject.org/docs/minutes/text/open-space-committee/2025-01-08-agenda-6946.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_01082025-6946,1904
2025-01-08,minutes,open-space-committee,https://lunenburgbudgetproject.org/docs/minutes/text/open-space-committee/2025-01-08-minutes-6946.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_01082025-6946,2532
