date,kind,board,our_copy,town_pdf,bytes
2026-06-11,agenda,architectural-preservation-district-commission,https://lunenburgbudgetproject.org/docs/minutes/text/architectural-preservation-district-commission/2026-06-11-agenda-7848.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_06112026-7848,2223
2026-03-12,agenda,architectural-preservation-district-commission,https://lunenburgbudgetproject.org/docs/minutes/text/architectural-preservation-district-commission/2026-03-12-agenda-7709.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_03122026-7709,2168
2026-03-12,minutes,architectural-preservation-district-commission,https://lunenburgbudgetproject.org/docs/minutes/text/architectural-preservation-district-commission/2026-03-12-minutes-7709.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_03122026-7709,1851
2026-02-12,agenda,architectural-preservation-district-commission,https://lunenburgbudgetproject.org/docs/minutes/text/architectural-preservation-district-commission/2026-02-12-agenda-7647.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_02122026-7647,2117
2026-02-12,minutes,architectural-preservation-district-commission,https://lunenburgbudgetproject.org/docs/minutes/text/architectural-preservation-district-commission/2026-02-12-minutes-7647.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_02122026-7647,2137
2026-01-08,agenda,architectural-preservation-district-commission,https://lunenburgbudgetproject.org/docs/minutes/text/architectural-preservation-district-commission/2026-01-08-agenda-7593.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_01082026-7593,2166
2026-01-08,minutes,architectural-preservation-district-commission,https://lunenburgbudgetproject.org/docs/minutes/text/architectural-preservation-district-commission/2026-01-08-minutes-7593.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_01082026-7593,1514
2025-12-11,agenda,architectural-preservation-district-commission,https://lunenburgbudgetproject.org/docs/minutes/text/architectural-preservation-district-commission/2025-12-11-agenda-7557.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_12112025-7557,2102
2025-12-11,minutes,architectural-preservation-district-commission,https://lunenburgbudgetproject.org/docs/minutes/text/architectural-preservation-district-commission/2025-12-11-minutes-7557.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_12112025-7557,2902
2025-11-13,agenda,architectural-preservation-district-commission,https://lunenburgbudgetproject.org/docs/minutes/text/architectural-preservation-district-commission/2025-11-13-agenda-7509.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_11132025-7509,2076
2025-11-13,minutes,architectural-preservation-district-commission,https://lunenburgbudgetproject.org/docs/minutes/text/architectural-preservation-district-commission/2025-11-13-minutes-7509.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_11132025-7509,2195
2025-10-20,agenda,architectural-preservation-district-commission,https://lunenburgbudgetproject.org/docs/minutes/text/architectural-preservation-district-commission/2025-10-20-agenda-7461.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_10202025-7461,2384
2025-09-11,agenda,architectural-preservation-district-commission,https://lunenburgbudgetproject.org/docs/minutes/text/architectural-preservation-district-commission/2025-09-11-agenda-7395.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_09112025-7395,2543
2025-09-11,minutes,architectural-preservation-district-commission,https://lunenburgbudgetproject.org/docs/minutes/text/architectural-preservation-district-commission/2025-09-11-minutes-7395.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_09112025-7395,2596
2025-08-14,agenda,architectural-preservation-district-commission,https://lunenburgbudgetproject.org/docs/minutes/text/architectural-preservation-district-commission/2025-08-14-agenda-7346.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_08142025-7346,2518
2025-08-14,minutes,architectural-preservation-district-commission,https://lunenburgbudgetproject.org/docs/minutes/text/architectural-preservation-district-commission/2025-08-14-minutes-7346.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_08142025-7346,3586
2025-07-10,agenda,architectural-preservation-district-commission,https://lunenburgbudgetproject.org/docs/minutes/text/architectural-preservation-district-commission/2025-07-10-agenda-7310.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_07102025-7310,2389
2025-07-10,minutes,architectural-preservation-district-commission,https://lunenburgbudgetproject.org/docs/minutes/text/architectural-preservation-district-commission/2025-07-10-minutes-7310.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_07102025-7310,2321
2025-06-12,agenda,architectural-preservation-district-commission,https://lunenburgbudgetproject.org/docs/minutes/text/architectural-preservation-district-commission/2025-06-12-agenda-7264.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_06122025-7264,2583
2025-06-12,minutes,architectural-preservation-district-commission,https://lunenburgbudgetproject.org/docs/minutes/text/architectural-preservation-district-commission/2025-06-12-minutes-7264.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_06122025-7264,4973
