date,kind,board,our_copy,town_pdf,bytes
2026-08-26,agenda,zoning-board-of-appeals,https://lunenburgbudgetproject.org/docs/minutes/text/zoning-board-of-appeals/2026-08-26-agenda-7935.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_08262026-7935,1511
2026-08-26,agenda,zoning-board-of-appeals,https://lunenburgbudgetproject.org/docs/minutes/text/zoning-board-of-appeals/2026-08-26-agenda-7936.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_08262026-7936,1522
2026-08-26,agenda,zoning-board-of-appeals,https://lunenburgbudgetproject.org/docs/minutes/text/zoning-board-of-appeals/2026-08-26-agenda-7978.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_08262026-7978,2220
2026-08-12,agenda,zoning-board-of-appeals,https://lunenburgbudgetproject.org/docs/minutes/text/zoning-board-of-appeals/2026-08-12-agenda-7919.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_08122026-7919,1607
2026-07-08,agenda,zoning-board-of-appeals,https://lunenburgbudgetproject.org/docs/minutes/text/zoning-board-of-appeals/2026-07-08-agenda-7862.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_07082026-7862,1716
2026-07-08,agenda,zoning-board-of-appeals,https://lunenburgbudgetproject.org/docs/minutes/text/zoning-board-of-appeals/2026-07-08-agenda-7891.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_07082026-7891,2910
2026-06-24,agenda,zoning-board-of-appeals,https://lunenburgbudgetproject.org/docs/minutes/text/zoning-board-of-appeals/2026-06-24-agenda-7839.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_06242026-7839,1688
2026-06-10,agenda,zoning-board-of-appeals,https://lunenburgbudgetproject.org/docs/minutes/text/zoning-board-of-appeals/2026-06-10-agenda-7824.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_06102026-7824,1702
2026-06-10,agenda,zoning-board-of-appeals,https://lunenburgbudgetproject.org/docs/minutes/text/zoning-board-of-appeals/2026-06-10-agenda-7825.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_06102026-7825,1695
2026-06-10,agenda,zoning-board-of-appeals,https://lunenburgbudgetproject.org/docs/minutes/text/zoning-board-of-appeals/2026-06-10-agenda-7843.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_06102026-7843,1403
2026-06-10,agenda,zoning-board-of-appeals,https://lunenburgbudgetproject.org/docs/minutes/text/zoning-board-of-appeals/2026-06-10-agenda-7847.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_06102026-7847,1427
2026-05-27,agenda,zoning-board-of-appeals,https://lunenburgbudgetproject.org/docs/minutes/text/zoning-board-of-appeals/2026-05-27-agenda-7785.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_05272026-7785,1580
2026-05-13,agenda,zoning-board-of-appeals,https://lunenburgbudgetproject.org/docs/minutes/text/zoning-board-of-appeals/2026-05-13-agenda-7771.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_05132026-7771,1598
2026-03-11,agenda,zoning-board-of-appeals,https://lunenburgbudgetproject.org/docs/minutes/text/zoning-board-of-appeals/2026-03-11-agenda-7654.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_03112026-7654,1529
2026-01-28,agenda,zoning-board-of-appeals,https://lunenburgbudgetproject.org/docs/minutes/text/zoning-board-of-appeals/2026-01-28-agenda-7595.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_01282026-7595,1536
2026-01-14,agenda,zoning-board-of-appeals,https://lunenburgbudgetproject.org/docs/minutes/text/zoning-board-of-appeals/2026-01-14-agenda-7575.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_01142026-7575,1609
2026-01-14,agenda,zoning-board-of-appeals,https://lunenburgbudgetproject.org/docs/minutes/text/zoning-board-of-appeals/2026-01-14-agenda-7576.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_01142026-7576,1578
2026-01-14,agenda,zoning-board-of-appeals,https://lunenburgbudgetproject.org/docs/minutes/text/zoning-board-of-appeals/2026-01-14-agenda-7604.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_01142026-7604,1028
2025-11-12,agenda,zoning-board-of-appeals,https://lunenburgbudgetproject.org/docs/minutes/text/zoning-board-of-appeals/2025-11-12-agenda-7472.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_11122025-7472,1460
2025-11-12,minutes,zoning-board-of-appeals,https://lunenburgbudgetproject.org/docs/minutes/text/zoning-board-of-appeals/2025-11-12-minutes-7472.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_11122025-7472,4137
2025-10-22,agenda,zoning-board-of-appeals,https://lunenburgbudgetproject.org/docs/minutes/text/zoning-board-of-appeals/2025-10-22-agenda-7438.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_10222025-7438,1274
2025-09-24,agenda,zoning-board-of-appeals,https://lunenburgbudgetproject.org/docs/minutes/text/zoning-board-of-appeals/2025-09-24-agenda-7382.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_09242025-7382,1431
2025-08-27,agenda,zoning-board-of-appeals,https://lunenburgbudgetproject.org/docs/minutes/text/zoning-board-of-appeals/2025-08-27-agenda-7337.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_08272025-7337,1524
2025-08-27,agenda,zoning-board-of-appeals,https://lunenburgbudgetproject.org/docs/minutes/text/zoning-board-of-appeals/2025-08-27-agenda-7338.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_08272025-7338,1434
2025-07-23,agenda,zoning-board-of-appeals,https://lunenburgbudgetproject.org/docs/minutes/text/zoning-board-of-appeals/2025-07-23-agenda-7288.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_07232025-7288,1962
2025-07-23,agenda,zoning-board-of-appeals,https://lunenburgbudgetproject.org/docs/minutes/text/zoning-board-of-appeals/2025-07-23-agenda-7291.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_07232025-7291,1604
2025-06-25,agenda,zoning-board-of-appeals,https://lunenburgbudgetproject.org/docs/minutes/text/zoning-board-of-appeals/2025-06-25-agenda-7274.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_06252025-7274,1560
2025-06-25,agenda,zoning-board-of-appeals,https://lunenburgbudgetproject.org/docs/minutes/text/zoning-board-of-appeals/2025-06-25-agenda-7275.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_06252025-7275,1565
2025-05-28,agenda,zoning-board-of-appeals,https://lunenburgbudgetproject.org/docs/minutes/text/zoning-board-of-appeals/2025-05-28-agenda-7212.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_05282025-7212,1731
2025-05-28,agenda,zoning-board-of-appeals,https://lunenburgbudgetproject.org/docs/minutes/text/zoning-board-of-appeals/2025-05-28-agenda-7213.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_05282025-7213,1716
2025-04-23,agenda,zoning-board-of-appeals,https://lunenburgbudgetproject.org/docs/minutes/text/zoning-board-of-appeals/2025-04-23-agenda-7172.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_04232025-7172,1849
2025-02-26,agenda,zoning-board-of-appeals,https://lunenburgbudgetproject.org/docs/minutes/text/zoning-board-of-appeals/2025-02-26-agenda-6974.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_02262025-6974,1932
2025-02-12,agenda,zoning-board-of-appeals,https://lunenburgbudgetproject.org/docs/minutes/text/zoning-board-of-appeals/2025-02-12-agenda-6973.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_02122025-6973,1906
2025-01-22,agenda,zoning-board-of-appeals,https://lunenburgbudgetproject.org/docs/minutes/text/zoning-board-of-appeals/2025-01-22-agenda-6950.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_01222025-6950,2104
2024-12-11,agenda,zoning-board-of-appeals,https://lunenburgbudgetproject.org/docs/minutes/text/zoning-board-of-appeals/2024-12-11-agenda-6892.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_12112024-6892,1743
2024-11-13,agenda,zoning-board-of-appeals,https://lunenburgbudgetproject.org/docs/minutes/text/zoning-board-of-appeals/2024-11-13-agenda-6852.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_11132024-6852,1760
2024-10-23,agenda,zoning-board-of-appeals,https://lunenburgbudgetproject.org/docs/minutes/text/zoning-board-of-appeals/2024-10-23-agenda-6794.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_10232024-6794,1924
