date,kind,board,our_copy,town_pdf,bytes
2026-11-17,agenda,select-board,https://lunenburgbudgetproject.org/docs/minutes/text/select-board/2026-11-17-agenda-7975.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_11172026-7975,1016
2026-09-03,agenda,select-board,https://lunenburgbudgetproject.org/docs/minutes/text/select-board/2026-09-03-agenda-7932.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_09032026-7932,1323
2026-08-18,agenda,select-board,https://lunenburgbudgetproject.org/docs/minutes/text/select-board/2026-08-18-agenda-7965.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_08182026-7965,4325
2026-08-18,agenda,select-board,https://lunenburgbudgetproject.org/docs/minutes/text/select-board/2026-08-18-agenda-7968.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_08182026-7968,2088
2026-08-18,agenda,select-board,https://lunenburgbudgetproject.org/docs/minutes/text/select-board/2026-08-18-agenda-7972.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_08182026-7972,4471
2026-08-11,agenda,select-board,https://lunenburgbudgetproject.org/docs/minutes/text/select-board/2026-08-11-agenda-7957.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_08112026-7957,2995
2026-08-10,agenda,select-board,https://lunenburgbudgetproject.org/docs/minutes/text/select-board/2026-08-10-agenda-7955.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_08102026-7955,2143
2026-08-04,agenda,select-board,https://lunenburgbudgetproject.org/docs/minutes/text/select-board/2026-08-04-agenda-7941.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_08042026-7941,3987
2026-07-28,agenda,select-board,https://lunenburgbudgetproject.org/docs/minutes/text/select-board/2026-07-28-agenda-7926.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_07282026-7926,2462
2026-07-27,agenda,select-board,https://lunenburgbudgetproject.org/docs/minutes/text/select-board/2026-07-27-agenda-7925.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_07272026-7925,2455
2026-07-21,agenda,select-board,https://lunenburgbudgetproject.org/docs/minutes/text/select-board/2026-07-21-agenda-7911.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_07212026-7911,3510
2026-07-14,agenda,select-board,https://lunenburgbudgetproject.org/docs/minutes/text/select-board/2026-07-14-agenda-7898.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_07142026-7898,2117
2026-07-07,agenda,select-board,https://lunenburgbudgetproject.org/docs/minutes/text/select-board/2026-07-07-agenda-7888.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_07072026-7888,3884
2026-06-30,agenda,select-board,https://lunenburgbudgetproject.org/docs/minutes/text/select-board/2026-06-30-agenda-7879.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_06302026-7879,2585
2026-06-16,agenda,select-board,https://lunenburgbudgetproject.org/docs/minutes/text/select-board/2026-06-16-agenda-7858.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_06162026-7858,3530
2026-06-16,minutes,select-board,https://lunenburgbudgetproject.org/docs/minutes/text/select-board/2026-06-16-minutes-7858.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_06162026-7858,4721
